,Posição,Endereço,Área,Quartos,Banheiros,Vagas,Condomínio,IPTU,Descrição,Status,Página,Preço
10,11,"Rua Abacabeira, Vila da Amizade",243 ,3,1,2,,,A casa está localizado no bairro Vila da Amizade com 243 metros quadrados com 1 quarto sendo 3 suites e 1 banheiro,Comum,1,380000
11,12,"Rua Antônio Carlos, Sao Francisco",191 ,3,2,3,,,A casa no bairro São Francisco tem 191 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros,Comum,1,335000
12,13,"Estrada da Floresta, Floresta Sul",62 ,3,2,1,280,,O apartamento no bairro Floresta Sul tem 62 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros,Destaque,1,225000
13,14,"Estrada do Calafate, Portal da Amazonia",360 ,,,,,,"O terreno fica em uma localização excelente, no início do condomínio, e o melhor, PODE SER FINANCIADO!!!",Destaque,1,260000
14,15,"Estrada do Calafate, Portal da Amazonia",150 ,3,3,2,,,A casa no bairro Portal da Amazônia com 150 metros quadrados com 3 quartos sendo 2 suites e 3 banheiros Vai lhe possibilitar todo o conforto do ar condicionado nos dias mais quente...,Destaque,1,400000
15,16,"Rodovia BR-364, Distrito Industrial",310 ,,,,,,"Vendo um lote de terra no condomínio de luxo Alphaville Rio Branco. Excelente localização, parte alta e plano. Lote medindo 310m². SOMENTE VENDA.CRECI 166 / 26ª Região",Comum,1,180000
16,17,"Rua Alcides Teixeira, Loteamento Santo Afonso",390 ,3,2,2,,,A casa está localizado no bairro Loteamento Santo Afonso com 3 quartos sendo 1 suite e 2 banheiros  Vai lhe possibilitar todo o conforto você e sua família merecem.  Casa espaçosa...,Destaque,1,250000
17,18,"Rua São Mateus, Residencial Araca",49 ,2,1,1,230,300,"O apartamento no bairro Residencial Araçá com 49 metros quadrados com 2 quartos e 1 banheiro Possui área de brinquedo para as crianças, área verde de jardim, salão de festas. Espaç...",Comum,1,185000
18,19,"Avenida Ceará, Dom Giocondo",110 ,3,3,2,,,A casa está localizado no bairro Dom Giocondo com 110 metros quadrados com 3 quartos sendo 2 suites e 3 banheiros,Comum,1,400000
19,20,"Rua Major Ladislau Ferreira, 7 BEC",111 ,2,3,2,800,,"O apartamento no bairro 7º BEC com 111 metros quadrados com 2 quartos sendo 1 suite e 3 banheiros Possui espaço gourmet, espaço para festas. Vai lhe possibilitar curtir os dias mai...",Destaque,1,580000
20,21,"Rodovia BR-364, Pedro Roseno",46 ,1,1,1,,,"🏢 O Via Towers Corporate Buildings é o empreendimento que promete ser o grande vetor de crescimento da cidade, o maior e mais moderno complexo empresarial e médico do Acre.    Dua...",Comum,1,290880
21,22,"Avenida Getúlio Vargas, Centro",250 ,3,,2,,,,Destaque,1,500000
22,23,"Avenida Recanto Verde, Residencial Petropolis",77 ,3,1,2,,,"O apartamento no bairro Residencial Petrópolis tem 77 metros quadrados com 3 quartos sendo 1 suite e 1 banheiro Possui área de fitness, espaço gourmet, jardim, área de recreação in...",Destaque,1,420000
23,24,"Rua Severina Maria de Sousa e Silva, Jardim Manoel Juliao",99 ,3,2,2,690,,"O apartamento está localizado no bairro Jardim Manoel Julião tem 99 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros Possui parquinho infantil, salão para festas e evento...",Super destaque,1,570000
24,1,"Avenida Comendador Gustavo Paiva, Mangabeiras",39 - 71 ,,2,,,,THE ICON PARK OFFICE  Um EMPRESARIAL ao lado do Parque Shopping com todo CONFORTO e SEGURANÇA que você precisa.   ✔️Serão 2 Torres com uma arquitetura de alto padrão e opções de sa...,Na planta,1,297394
25,2,"Rua Doutora Rosa Cabús, Jatiúca",40 - 59 ,1 - 2,1 - 2,1,,,"Viva o presente, invista no futuro!  Viver é gastar sua energia e economizar o planeta. É aproveitar o sol e reaproveitar a chuva. É usar aplicativos que conectam você ao condomíni...",Pronto para morar,1,
26,3,"Rua Valdo Omena, Ponta Verde",37 - 79 ,1 - 2,1,1 - 2,,,Venha conhecer o Smart Stay.,Em construção,1,
27,4,"Avenida Doutor Antônio Gomes de Barros, Jatiúca",450 ,4,5,5,2500,,"Linda e confortável cobertura Duplex à Beira Mar da Jatiuca, com 450m2 e área de lazer privativa e com uma linda vista para o mar definitiva.   São 4 suites, sendo uma master no pi...",Super destaque,1,3100000
28,5,"Rua Ruthe Reis, Poço",57 ,2,2,1,,,Apartamento  02 quartos com suite sala  cozinha e area de serviço 01 vaga de garagem Nascente  area de lazer completa   o empreendimento vai ser entregue em setembro de 2022  esse...,Super destaque,1,370000
29,6,"Avenida Álvaro Otacílio, Ponta Verde",112 ,3,2,2,880,,O apartamento no bairro Ponta Verde com 112 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros.  Cobertura Duplex dispõe⤵️ (FRENTE AO MAR) ✅Pavimento inferior:  2 quartos...,Super destaque,1,740000
30,7,"Rua José Fragoso de Omena, São Jorge",64 ,2,2,1,330,,"O apartamento está localizado no bairro São Jorge tem 64 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui espaço para festas, parquinho com diferentes brinquedos....",Comum,1,230000
31,8,"1ª Travessa Corintho Campelo da Paz, Santos Dumont",120 ,2,2,1,,,"A casa está localizado no bairro Santos Dumont tem 120 metros quadrados com 2 quartos sendo 1 suite e um banheiro social, garagem e quintal.",Comum,1,150000
32,9,"Serraria, Maceió",77 ,3,2,1,450,,O apartamento no bairro Serraria com 77 metros quadrados com 3 quartos sendo 2 suites e 2 banheiros,Comum,1,125000
33,10,"Serraria, Maceió",58 ,2,2,1,275,1300,"O apartamento está localizado no bairro Serraria possui 58 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui jardim, parquinho infantil, espaço para festas. Vai lhe...",Destaque,1,200000
34,11,"Rua Marieta Lages, Farol",81 ,3,2,2,623,,"Apartamento com 3 quartos com 1 suíte, WC social, sala de estar, área de serviço e cozinha.  Área de lazer completa com piscina, salão de festas, espaço gourmet, churrasqueira, bic...",Comum,1,480000
35,12,"Rua Lourenço Moreira da Silva, Ponta Verde",95 ,3,3,2,,,"Ótima opção de apartamento com localização privilegiada e amplo na Ponta Verde! Composto de 3 quartos sendo um suíte máster com closet, sala para dois ambientes com varanda, armári...",Destaque,1,530000
36,13,"Rua Alto da Boa Vista, Ipioca",1 ,1,1,1,,,ótimos terrenos em condomínio fechado e loteamento aberto em Paripueira  vista panorâmica do mar   local super tranquilo perto da Natureza  valores muitos bons acessíveis   ótimas...,Comum,1,66250
37,14,"Avenida Menino Marcelo, Serraria",50 ,2,2,1,,,"O apartamento está localizado no bairro Serraria tem 50 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui espaço gourmet, espaço jardinado, parquinho com diferentes...",Destaque,1,179000
38,15,"Rua Projetada A, Cidade Universitária",126 ,2,2,1,,,"Casa à venda 300 m2, Condomínio Loteamento Recanto da Serraria II - Serraria.   Varanda Sala de estar e jantar Sala de Estar e Jantar Cozinha ampla Área de serviço Garagem  Quintal...",Comum,1,160000
39,16,"Rua Ruthe Reis, Poço",69 ,3,2,1,400,,"3 quartos, sendo 1 suíte, cozinha, área de serviço, 2 banheiros, 1 vaga de garagem.VALOR: R$ 451.000CONDOMÍNIO: 350",Comum,1,451000
40,17,"Farol, Maceió",500 ,,,5,,,"Alugo Excepcional Oportunidade de Loja comercial na mangabeiras , com alto fluxo de clientes pois fica localizada entre vários condomínios. Ideal para conveniência , padarias, depo...",Comum,1,12000
41,18,"Rua Carlos Gomes da Silva, Jatiúca",103 ,2,3,2,600,,"O apartamento está localizado no bairro Jatiúca tem 103 metros quadrados com 2 quartos sendo 2 suites e 3 banheiros Possui salão de festas, academia, parquinho infantil. Vai lhe po...",Destaque,1,1000000
42,19,"Avenida Jorge Barros, Santa Amélia",55 ,2,1,1,,,"Vendo apartamento no Residencial Mundaú Club  - 1º andar 126 mil - 2º andar 126 mil - 3º andar 120 mil  - 2 quartos, WC, sala, cozinha, área de serviço. - Piso laminado de madeira...",Destaque,1,120000
43,20,"Rua São Caetano, Benedito Bentes",48 ,2,1,1,230,,"Residencial Bosque das Ubaias Excelente Apartamento no Benedito Bentes, condomínio Fechado proximo ao shopping patio;  -apartamento no 1° andar;  - 2/4, sala, cozinha; (água e gás...",Comum,1,120000
44,21,"Rua Doutor Zeferino Rodrigues, Pajuçara",38 ,1,1,1,300,,"Prédio com área de lazer completa, apartamento com 38m² em excelente localização na Pajuçara, apenas R$ 205.000, parcelo em 60 meses.",Comum,1,205000
45,22,"Rua A-40, Benedito Bentes",55 ,2,2,1,,,Vendo Apartamento Térreo no residencial Village das Flores. Totalmente Nascente  Para fazer uma visita basta ligar. Tiago Soares|82| 9.,Destaque,1,115000
46,23,"Santa Lúcia, Maceió",75 ,2,2,2,,,"Casa para venda na Santa Lúcia, com 02 quartos. Ótima localização, perto de tudo.Agende já sua visita!!! -",Comum,1,110000
47,24,"Rua Governador Francisco Mello, Antares",43 ,2,2,1,,,"Pré-lançamento Torres de trindade, localizado no bairro do Antares  Tipologia das unidades: 1 Quarto (PCD) Área total: 43,34m²* 2 Quartos com Suíte Área total: 45,14m²* 2 Quartos Á...",Comum,1,199000
48,1,"Alameda das Estrelas, Muruci Fazendinha",332 ,,,,350,,"Lotes medindo mais de 332,00m²  em excelente localização dentro do empreendimento,  Qd 22 e outra esquina na av principal.  Verana Macapá fica situado na Rod JP, antiga Rod JK em f...",Super destaque,1,250000
49,2,"Rodovia Juscelino Kubitschek, Universidade",21961 ,3,1,3,,,"Casa residencial em alvenaria de um(01) pavimento, coberta com telha de barro, forro em madeira, piso em cerâmica, garagem para três (03) carros, pátio, varanda. Três quartos  Uma...",Destaque,1,360000
50,3,"Rua Luis Azarias Neto, Zerão",200 ,3,2,,,,"Casa, Ponto Comercial e kitnet no bairro Zerao, Situado Na Rua Luiz Azarias. Possuí estrutura para o segundo pavimento.  Casa: * Garagem * 02- Quartos * Banheiro Social * Sala de E...",Comum,1,190000
51,4,"Rua Odilardo Silva, Juliao Ramos",250 ,,,,,,"Lote residencial à venda  10x25 ?250,00m2?  Quitado   Disponível para pagamento à vista  R$55.000,00  Mais informações   Josiele Souza  Corretora e Avaliadora de Imovéis  Creci 930...",Comum,1,55000
52,5,"São José, Macapá",275 ,,,,250,,Vendo Excelente lote de ESQUINA plano e com muro em uma lateral e nos fundos. Possui excelente localização dentro do residencial  Lote 11x25 Localizado no Loteamento Jardim América...,Comum,1,97000
53,6,"Rua Floresta, Brasil Novo",120 ,3,3,,,,"Repasse de lote com casa em fase de construção no loteamento Floresta tropical, Edificada em terreno 10x25, com 120 M2 de área construída, dúvida nas seguintes acomodações: √ Garag...",Comum,1,40000
54,7,"Avenida Jose Tupinamba de Almeida, Juliao Ramos",45 ,2,1,1,380,,"Leia até o final!  Apartamento contendo 2 quartos, Sala, Cozinha tradicional, sacada e vaga de garagem privativa.   Localizado no condomínio Ville de Lyon, Av. Nações Unidas, Lagui...",Destaque,1,200000
55,8,"Brasil Novo, Macapá",250 ,,,,,,"Lote todo plano,  Quitado.  Medindo 10 X 25m nascente, Situado na qd 12 próximo da av principal e de frente para qd 11 do Floresta tropical Excelente localização  Obs. Somente para...",Destaque,1,50000
56,9,"Rua Caubi Sérgio Melo, Renascer",57 ,2,2,1,353,,"Apartamento residencial situado no condomínio Barcelona, prédio com elevador.  contendo:  garagem coberta fixa sala de estar/jantar,  um quarto,  uma suíte, cozinha com armários pl...",Comum,1,280000
57,10,"Rodovia BR-210, Lagoa Azul",110 ,3,1,2,,,"Casa residencial em alvenaria de um pavimento, coberta com telha de barro, forro de pvc, piso em porcelanato, contendo as seguintes dependências: garagem para dois (02) carros, sal...",Destaque,1,420000
58,11,"Avenida Antônio Ferreira de Jesus, Novo Buritizal",200 ,3,4,,,,"O ponto comercial/loja/box no bairro Novo Buritizal possui 200 metros quadrados com 3 quartos sendo 3 suites e 4 banheirosPonto Comercial no bairro Novo Buritizal, Sub esquina, Edi...",Comum,1,500000
59,12,"Alameda Abil, Brasil Novo",120 ,3,3,3,,,A casa de vila no bairro Brasil Novo possui 120 metros quadrados com 3 quartos sendo 3 suites e 3 banheiros,Comum,1,70000
60,13,"Alameda Nona, Boné Azul",96 ,2,1,2,,,"Código na caixa: 00000010005667  2 quartos, 2 Vagas na Garagem, área de serviço, suite, sala, cozinha.Mat. 21.659, valor base ITBI = R$ 145.860,00. Laudo menciona 2 vgs de garagem...",Comum,1,130626
61,14,"Muruci Fazendinha, Macapá",300 ,,,,350,,"Lote medindo 300,00m²  em excelente localização dentro do empreendimento,   Verana Macapá fica situado na Rod JP, antiga Rod JK em frente ao EcoParque zoobotânico.  a quadra do lot...",Destaque,1,230000
62,15,"Rua Odilardo Silva, Juliao Ramos",107 ,3,2,2,,,Excelente imóvel à venda  Disponível para pagamento à vista   ANALISAMOS PROPOSTA   Terreno 12x30 poente  107m2 de área construída  2 vagas de garagem coberta  Pátio  Sala de estar...,Comum,1,220000
63,16,"Central, Macapá",203 ,3,1,2,,,"Casa rural na comunidade do Abacate da Pedreira a 40 minutos da capital, localizado na rodovia AP 70. Terreno medindo 48,00m de frente por 38,00m de fundos totalizando uma área de...",Destaque,1,350000
64,17,"Pacoval, Macapá",400 ,3,4,4,,,"Crédito imobiliário para a compra de loteamento, terreno, construção, imóvel rural, sítio, chácara , Imóvel, novo, usado, na planta, residencial, comercial, galpões, salas comercia...",Comum,1,300000
65,18,"Jardim Marco Zero, Macapá",11000 ,3,2,,,,Imóvel com excelente localização e ótima vizinhança  possui casa sede com 3 quartos  uma suíte externa   Galpao oficina galinheiro chiqueiro área para churrasqueira murado em boa p...,Destaque,1,800000
66,19,"Avenida José Araguarino de Mont'Alverne, Congós",150 ,3,3,,,,"Casa com Piscina em Alvenaria na 4°Av dos Congos, Edificada en terreno 12x25. Contendo as seguintes dependências: * Garagem pra 03 carros  * Sala de Estar *Sala de jantar  * Cozinh...",Comum,1,250000
67,20,"Rua Alemanha, Cabralzinho",200 ,,,,150,,Vendo Excelentes lotes planos e com muro em uma lateral e nos fundos. Possui excelente localização dentro do residencial  Lotes 10x20 Localizado no Parque Das Nações tenho uma esqu...,Comum,1,120000
68,21,"Avenida Três de Abril, Muruci Fazendinha",208 ,,1,2,,,A casa está localizado no bairro Muruci (Fazendinha) tem 208 metros quadrados com 2 quartos sendo 2 suites e 3 banheiros Vai lhe possibilitar curtir os dias mais quentes na piscina...,Destaque,1,180000
69,22,"Alameda Bosque, Muruci Fazendinha",30015 ,,,,300,,"Lote disponível para venda,  Zona Sul de Macapá. Excelente localização, Longe da mata. Tamanho: 12x25 = 300,15m2 Lote para o Nascente. Valor R$235.000,00 Informações:  Isa Fonseca...",Comum,1,235000
70,23,"Rodovia Juscelino Kubitschek, Jardim Marco Zero",180 ,3,4,2,,400,"Vende-se uma Excelente casa recém construído próximo ao Amapá Gardem, Unifap, Atacadão, Lugar de muito verde, bons ventos e tranquilidade. SOMENTE VENDA. Rod.JK, Ramal dos Promotor...",Destaque,1,600000
71,24,"Avenida Ceará, Pacoval",130 ,2,3,,,,"Casa no Bairro PACOVAL, na Av Ceará entre Leopoldo Machado e e Jovino Dinoa, construída toda em Alvenaria, Edificada em terreno 15x30, piso em porcelanato, portas de madeira de Lei...",Comum,1,280000
72,1,"Avenida Coronel Teixeira, Ponta Negra",66 - 88 ,2 - 3,2 - 3,1,,,"Pronto para morar ao lado do Shopping Ponta Negra, no melhor da região!Piscina, churrasqueira, fitness, salão de festas, quadra esportiva, segurança 24 horas",Pronto para morar,1,340000
73,2,"Avenida Coronel Teixeira, Ponta Negra",36 - 49 ,1 - 2,1,1,,,"A região da Ponta Negra é um dos pontos mais nobres e valorizados de Manaus. E é exatamente onde está localizado o Estilo Ponta Negra. No empreendimento, você estará ao lado do Sho...",Pronto para morar,1,
74,3,"Rua Fulvio Pennanchi, Planalto",38 - 43 ,1 - 2,1,1,,,"Lazer equipado, Previsão para medição de água individualizada, Preparação para Wi-fi nas áreas de lazer, Sistema de segurança ECO, Coleta seletiva, Portas Especiais, Pomar, Bicicle...",Na planta,1,176490
75,4,"Avenida Coronel Teixeira, Ponta Negra",49 ,2,2,1,,,"O Estilo Ponta Negra conta com apartamentos com 02 dormitórios (sendo 01 suíte), varanda, vaga de garagem coberta dependendo da unidade pretendida, espaços de lazer completos e equ...",Super destaque,1,285800
76,5,"Rua Enéas Barreto Thomé, Colônia Santo Antônio",495 ,3,2,20,,,"DESCRIÇÃO:  - Tamanho do terreno 15 X 33 = 495m²; Área construída: 300m²;   TÉRREO: - Vende-se 1 casa com finíssimo acabamento, com as seguintes características: - 1 Sala e sala ja...",Super destaque,1,380000
77,6,"Avenida Doutor Theomário Pinto da Costa, Chapada",303 ,3,4,4,750,2200,"Vendo Belíssima casa no Residencial Renaissance, o imóvel possui 303, 49 m2 com 3 suítes, lavabo e banheiro de serviço, sala ampla para 3 ambientes, piscina, churrasqueira, lavande...",Super destaque,1,2500000
78,7,"Avenida Ephigênio Salles, Aleixo",800 ,5,5,5,,6000,"Casa pra ALUGUEL no V8, ao lado da Splash pizzaria (exclusividade de 03 meses) com sala para 03 ambientes, escritório, 08 quartos sendo 07 suítes, cozinha ampla, sala de home, 02 c...",Comum,1,20000
79,8,"Dom Pedro I, Manaus",350 ,3,3,3,,,"A casa conta com o padrão imobiliário mais buscado, nela você encontra boas energias, aconchego e bem estar, além de ser um imóvel amplo com 3 quartos, sala de estar, sala de janta...",Comum,1,200000
80,9,"Novo Aleixo, Manaus",350 ,3,2,3,,,"Casa Excelente Para Morar!!!  A casa conta com o padrão imobiliário mais buscado.  Sabe por quê? Por que nela você encontra aconchego e bem estar, além de ser um imóvel amplo possu...",Comum,1,80000
81,10,"Novo Aleixo, Manaus",70 ,2,2,2,,,"Casa no novo aleixo, com qualidade e preço justo   CASA COM: - Sala de estar e jantar - 02 quartos, sendo 1 suite - Cozinha - Área de serviço coberta - Garagem para 02 carros  ACAB...",Destaque,1,180038
82,11,"Flores, Manaus",300 ,3,2,3,,,"IMÓVEL PRONTA PRA MORAR! APROVEITE A OPORTUNIDADE!  Casa com 03 quartos, sendo 02 suítes, área de lazer com piscina e churrasqueira, sala de estar e sala de jantar, em fino acabame...",Comum,1,125000
83,12,"Flores, Manaus",160 ,3,3,3,,,"Cod do anuncio: CA4636  Vende-se Linda Casa com as seguintes características:  Não fica em condomínio.  Imóvel todo murado.  3 quartos sendo 3 suítes, Garagem para 3 carros, Ótima...",Comum,1,190008
84,13,"Rua 34, Lírio do Vale",130 ,2,2,4,,,"Linda Casa no Lírio do Vale 2, com ótima localização próxima ao Condomínio Smart Vista do Sol.  DESCRIÇÃO DO IMÓVEL: Sala de estar/jantar Cozinha 2 suítes 4 vagas na garagem  METRA...",Comum,1,165000
85,14,"Novo Aleixo, Manaus",90 ,3,2,2,,,"Lançamento de casas no Novo Aleixo  CASA COM: • 03 quartos, sendo 1 suíte • Sala  • Cozinha  • Banheiro social • 02 vagas de garagem  ACABAMENTO DO IMÓVEL: * Piso cerâmica * Forrad...",Destaque,1,195074
86,15,"Novo Aleixo, Manaus",70 ,2,2,2,,,"Pronta pra morar com piscina   Localizada no Novo Aleixo  CASA COM: - Sala de estar e jantar - 02 quartos, sendo 1 suite - Cozinha - Área de serviço coberta - Garagem para 02 carro...",Destaque,1,220162
87,16,"Adrianópolis, Manaus",400 ,3,3,3,,,"Casa a venda próximo a panificadora Eliza  Casa com localização privilegiada, fino acabamento,bancada com ótimo design, ambiente integrados, quintal, piscina com cascata, 3 quartos...",Comum,1,150000
88,17,"Avenida Autaz Mirim, Distrito Industrial I",160 ,3,3,2,,,Promoção:   R$ baixamos o preço 180.000 Até dia 15/04   Depois dessa data vamos voltar para o valor anterior de 185.000  Linda casa localizada no Conjunto  Industriário cep: 69075-...,Comum,1,180000
89,18,"Parque Dez de Novembro, Manaus",110 ,2,1,2,,,"02 dormitórios sendo um suíte 1 banheiros, cozinha, área gourmet com WC e área de serviço.  Nao financia, Crédito próprio.   A vista 120mil ou Parcelado com entrada de 16mil+Parcel...",Comum,1,120000
90,19,"Cidade Nova, Manaus",70 ,2,2,2,,,"Excelente casa no Águas claras  CASA COM: - Sala de estar e jantar - 02 quartos, sendo 1 suite - Cozinha - Área de serviço coberta - Garagem para 02 carros  ACABAMENTO DO IMÓVEL: -...",Destaque,1,250066
91,20,"Avenida Camapuã, Cidade Nova",200 ,3,2,5,,,"Casa residencial em rua pública na Cidade Nova, logo após a Eucatur Pneus ao lado da União Cascavel.  Descrição:  ▶️ 3 dormitórios sendo 2 suítes  ▶️ Sala ampla com mesa de jantar...",Comum,1,230000
92,21,"Planalto, Manaus",300 ,3,2,3,,,"CASA EXCELENTE PRA MORAR!   Casa com 03 quartos, sendo 02 suítes, área de lazer com piscina e churrasqueira, sala de estar e sala de jantar, em fino acabamento  AREA: 300m² DOCUMEN...",Comum,1,200000
93,22,"Cidade Nova, Manaus",350 ,2,2,3,,,"IMÓVEL PRONTA PRA MORAR! APROVEITE A OPORTUNIDADE!  Casa com 03 quartos, sendo 02 suítes, área de lazer com piscina e churrasqueira, sala de estar e sala de jantar, em fino acabame...",Comum,1,150000
94,23,"Cidade Nova, Manaus",70 ,2,2,2,,,"Excelente casa no Águas claras  CASA COM: - Sala de estar e jantar - 02 quartos, sendo 1 suite - Cozinha - Área de serviço coberta - Garagem para 02 carros  ACABAMENTO DO IMÓVEL: -...",Destaque,1,250074
95,24,"Rua 108, Nova Cidade",180 ,3,2,2,,,"FINANCIA  Linda casa na Nova Cidade, localização privilegiada, próxima ao DB da Nova Cidade.  DESCRIÇÃO DO IMÓVEL:  Sala de estar Sala de jantar 3 quartos sendo 1 suíte Cozinha Áre...",Comum,1,180000
96,1,"3ª Travessa Paripiranga, Bairro da Paz",53 - 71 ,2 - 3,2,1,,,"Pronto para morar pertinho da praia!Pronto para morar pertinho da praia, de shoppings e faculdades. Acesso pela orla ou pela nova Av. Orlando Gomes",Pronto para morar,1,
97,2,"Rua Doutor Genésio Salles, Vila Laura",61 - 89 ,2 - 3,2 - 3,1 - 2,,,"O melhor da Vila Laura para você. Escolha mais conforto, segurança, lazer e bem estar no maior empreendimento da Vila Laura. Próximo ao Shopping Bela Vista e à estação de metrô Ace...",Na planta,1,387480
98,3,"Rua Parambu, Santa Teresa",58 ,2,2,1,,,"Residencial Santorini – BRF Realizações  Jardim Santa Tereza, próximo ao Metrô, Supermercado Extra e Shopping Horto Bela Vista.  2 / 4 com 58m2, Varanda, e Suíte com espaço para Cl...",Em construção,1,395000
99,4,"Rua Raul Leite, Vila Laura",90 ,3,3,1,464,593,"Localização - Localizado próximo a escolas, academia, supermercados, shopping, metrô, acesso rápido e fácil para todos os lugares. Descrição do imóvel - Apartamento 3/4 - uma suí...",Super destaque,1,430000
100,5,"Rua Anthenor Tupinambá, Pituba",155 ,3,4,2,1700,346,"BELISSIMO APARTAMENTO 3 SUITES PORTEIRA FECHADA!  EXCLUSIVIDADE!  Apartamento originalmente 4/4, sendo 3 suítes, porém um dos quartos foi revertido em home aberto para sala. Foi pr...",Super destaque,1,1300000
101,6,"Rua Alberto Fiuza, Imbuí",94 ,3,3,1,390,,"Aceitamos Financiamento Bancário!!  Poente, 9° andar. Imóvel com 3 quartos, suíte, 3 banheiro, sala, cozinha, dependência e área de serviço.  Características: cond. fechado, portei...",Super destaque,1,400000
102,7,"Largo do Abaeté, Itapuã",175 ,3,2,2,,,"Contato com Cleiton (71) 9..9730..3623 - Tambem é Whatsapp - Imovel em otimas condições com uma garagem ampla, negociamos com entrada a partir de 20.000 e parcelas a combnar - (ver...",Comum,1,20000
103,8,"Rua Padre Daniel Lisboa, Daniel Lisboa",160 ,3,1,2,,,"Casa na Rua principal, com 3/4,sala, cozinha, banheiro, area de serviço, garagem, espaço para convivencia - Ligue (71) 9..9730..3623 Disponivel também para Whatsapp - Negociamos en...",Comum,1,20000
104,9,"Boulevard das Flores, Nazaré",110 ,2,1,1,,,"Otima opção de imovel em rua principal, garagem e acessos a diversos portos coerciais da regiao - TEMOS CERTA URGENCIA NA VENDA - Negociamos entrada - (Consulte valor a vista) - Na...",Comum,1,17000
105,10,"Praia do Flamengo, Salvador",86 ,3,3,2,,,"7 1 𝟵𝟴𝟳𝟵𝟴𝟬𝟱𝟮𝟲 / WHATSAPP E LIGAÇÃO   OPORTUNIDADE ÚNICA PARA SAIR DO ALUGUEL DE MODO ECONÔMICO!!!!!!!  IMÓVEL BEM LOCALIZADO, CASA INDEPENDENTE, FRENTE DE RUA, PRÓXIMA DE...",Comum,1,165000
106,11,"Rua Lamarão, Pernambués",1240 ,16,22,23,,,"Prédio com 16 salas, todas com banheiro privativo. 5 galpões térreos e vagas para 23 carros. Rua de fácil acesso, próximo a farmácia, padaria, mercados, depósito de bebidas. (na ru...",Destaque,1,5000000
107,12,"Ribeira, Salvador",75 ,3,1,1,,,"❼❶ ​ ❾❽❽❸❹-❹❶⓿❷ (Whatsapp e ligações)  Vendo casa na Ribeira, imovel com documentações em dias, sala ampla, 3/4 sendo 1 com suíte, área de serviço, 2 banheiros, 1 vaga de garagem ,...",Comum,1,160000
